HJD	Mag	Band
2459740.46544 	-1.999 	V
2459740.46816 	-2.052 	V
2459740.47087 	-2.080 	V
2459740.47359 	-2.099 	V
2459744.17254 	-2.234 	V
2459744.17665 	-2.204 	V
2459744.18076 	-2.197 	V
2459744.18487 	-2.169 	V
2459744.18899 	-2.160 	V
2459744.19309 	-2.154 	V
2459744.19720 	-2.143 	V
2459744.20131 	-2.110 	V
2459744.20542 	-2.088 	V
2459744.20952 	-2.057 	V
2459744.21363 	-2.020 	V
2459744.21774 	-1.992 	V
2459744.22184 	-1.962 	V
2459744.22595 	-1.934 	V
2459744.23006 	-1.918 	V
2459744.23416 	-1.917 	V
2459744.23827 	-1.919 	V
2459744.24238 	-1.921 	V
2459744.24648 	-1.921 	V
2459744.25058 	-1.917 	V
2459744.25469 	-1.917 	V
2459744.25880 	-1.928 	V
2459744.26291 	-1.961 	V
2459744.26700 	-1.992 	V
2459744.27111 	-2.034 	V
2459744.27522 	-2.055 	V
2459744.27933 	-2.082 	V
2459744.28344 	-2.121 	V
2459744.28754 	-2.158 	V
2459744.29164 	-2.188 	V
2459744.29575 	-2.209 	V
2459744.29986 	-2.231 	V
2459744.30396 	-2.229 	V
2459744.30807 	-2.259 	V
2459744.31218 	-2.267 	V
2459744.31629 	-2.279 	V
2459744.32038 	-2.291 	V
2459744.32450 	-2.300 	V
2459744.32846 	-2.294 	V
2459744.33257 	-2.310 	V
2459744.33668 	-2.323 	V
2459744.34078 	-2.337 	V
2459744.34488 	-2.328 	V
2459744.34899 	-2.327 	V
2459744.35310 	-2.325 	V
2459744.35721 	-2.310 	V
2459744.36131 	-2.308 	V
2459744.36542 	-2.286 	V
2459744.36952 	-2.269 	V
2459744.37362 	-2.236 	V
2459744.37773 	-2.221 	V
2459744.38360 	-2.212 	V
2459744.38771 	-2.175 	V
2459744.39182 	-2.158 	V
2459744.39591 	-2.149 	V
2459744.40002 	-2.093 	V
2459744.40413 	-2.047 	V
2459744.40911 	-1.979 	V
2459744.41321 	-1.974 	V
2459744.41732 	-1.937 	V
2459744.42143 	-1.973 	V
2459744.42553 	-1.934 	V
2459744.42964 	-1.927 	V
2459744.43375 	-1.934 	V
2459744.44195 	-1.900 	V
2459744.44856 	-1.912 	V
2459744.45267 	-1.961 	V
2459744.45677 	-2.005 	V
2459744.46088 	-2.056 	V
2459744.46498 	-2.029 	V
2459740.19006 	-1.951 	R
2459740.19278 	-1.927 	R
2459740.19550 	-1.921 	R
2459740.19821 	-1.901 	R
2459740.20093 	-1.893 	R
2459740.20365 	-1.873 	R
2459740.20636 	-1.868 	R
2459740.20907 	-1.841 	R
2459740.21179 	-1.813 	R
2459740.21450 	-1.801 	R
2459740.21722 	-1.783 	R
2459740.21992 	-1.770 	R
2459740.22264 	-1.758 	R
2459740.22535 	-1.701 	R
2459740.22806 	-1.696 	R
2459740.23078 	-1.674 	R
2459740.23349 	-1.676 	R
2459740.23621 	-1.667 	R
2459740.23893 	-1.675 	R
2459740.24164 	-1.672 	R
2459740.24436 	-1.685 	R
2459740.24978 	-1.679 	R
2459740.25249 	-1.674 	R
2459740.25521 	-1.677 	R
2459740.25793 	-1.691 	R
2459740.26194 	-1.667 	R
2459740.26466 	-1.694 	R
2459740.26736 	-1.690 	R
2459740.27008 	-1.740 	R
2459740.27279 	-1.760 	R
2459740.27551 	-1.787 	R
2459740.27822 	-1.809 	R
2459740.28094 	-1.804 	R
2459740.28365 	-1.853 	R
2459740.28637 	-1.869 	R
2459740.28908 	-1.889 	R
2459740.29179 	-1.910 	R
2459740.29451 	-1.909 	R
2459740.29721 	-1.946 	R
2459740.29993 	-1.942 	R
2459740.30265 	-1.967 	R
2459740.30536 	-1.993 	R
2459740.30808 	-1.985 	R
2459740.31079 	-2.004 	R
2459740.31351 	-2.006 	R
2459740.31622 	-2.015 	R
2459740.31894 	-2.014 	R
2459740.32166 	-2.036 	R
2459740.32437 	-2.052 	R
2459740.32709 	-2.042 	R
2459740.32979 	-2.057 	R
2459740.33251 	-2.052 	R
2459740.33522 	-2.062 	R
2459740.33794 	-2.065 	R
2459740.34066 	-2.059 	R
2459740.34337 	-2.079 	R
2459740.34609 	-2.043 	R
2459740.34880 	-2.066 	R
2459740.35152 	-2.067 	R
2459740.35423 	-2.068 	R
2459740.35695 	-2.058 	R
2459740.35965 	-2.036 	R
2459740.36237 	-2.032 	R
2459740.36508 	-2.034 	R
2459740.36780 	-2.014 	R
2459740.37051 	-2.020 	R
2459740.37323 	-2.003 	R
2459740.37594 	-1.992 	R
